month,Year,District,SAFETY,crime
7,2021,1.0,53.2775,1158
7,2021,2.0,52.6075,872
7,2021,3.0,57.9475,935
7,2021,4.0,49.1525,1128
7,2021,5.0,44.8225,925
7,2021,6.0,51.197500000000005,1235
7,2021,7.0,46.7275,997
7,2021,8.0,57.25,1133
7,2021,9.0,57.985,848
7,2021,10.0,48.177499999999995,805
7,2021,11.0,44.48,1186
7,2021,12.0,56.6275,968
7,2021,14.0,62.3775,617
7,2021,15.0,62.57,707
7,2021,16.0,60.688,681
7,2021,17.0,64.38,541
7,2021,18.0,53.8125,1010
7,2021,19.0,63.6775,942
7,2021,20.0,62.3,361
7,2021,22.0,56.1675,635
7,2021,24.0,60.19,532
7,2021,25.0,60.373333333333335,943
8,2018,1.0,69.63,1583
8,2018,2.0,57.0625,1080
8,2018,3.0,52.2975,1170
8,2018,4.0,53.417500000000004,1396
8,2018,5.0,53.8725,1158
8,2018,6.0,51.42,1570
8,2018,7.0,49.935,1446
8,2018,8.0,58.26,1527
8,2018,9.0,54.9,1002
8,2018,10.0,49.14,1192
8,2018,11.0,48.925,1844
8,2018,12.0,62.7575,1288
8,2018,14.0,67.59,851
8,2018,15.0,55.36,926
8,2018,16.0,71.80199999999999,802
8,2018,17.0,67.84,647
8,2018,18.0,70.4125,1583
8,2018,19.0,69.65,1201
8,2018,20.0,69.0975,485
8,2018,22.0,60.462500000000006,738
8,2018,24.0,67.185,788
8,2018,25.0,58.89000000000001,1191
8,2019,1.0,65.22,1488
8,2019,2.0,57.1525,1033
8,2019,3.0,51.295,1139
8,2019,4.0,52.7325,1226
8,2019,5.0,51.0775,1032
8,2019,6.0,45.6325,1585
8,2019,7.0,49.8875,1256
8,2019,8.0,52.84,1537
8,2019,9.0,50.8425,1046
8,2019,10.0,54.9025,1216
8,2019,11.0,42.042500000000004,1792
8,2019,12.0,56.0,1295
8,2019,14.0,62.3525,847
8,2019,15.0,46.5225,912
8,2019,16.0,69.82000000000001,725
8,2019,17.0,63.86,669
8,2019,18.0,64.18,1332
8,2019,19.0,65.5275,1093
8,2019,20.0,66.155,414
8,2019,22.0,63.2175,772
8,2019,24.0,63.695,798
8,2019,25.0,58.321666666666665,1220
8,2020,1.0,47.932500000000005,817
8,2020,2.0,64.64,886
8,2020,3.0,51.06,994
8,2020,4.0,41.835,1170
8,2020,5.0,54.0325,926
8,2020,6.0,52.9475,1261
8,2020,7.0,44.3325,1129
8,2020,8.0,51.05,1127
8,2020,9.0,49.0575,837
8,2020,10.0,42.885,939
8,2020,11.0,40.7675,1413
8,2020,12.0,52.21,950
8,2020,14.0,53.42,640
8,2020,15.0,42.01,870
8,2020,16.0,65.666,682
8,2020,17.0,59.6475,613
8,2020,18.0,49.02,988
8,2020,19.0,59.795,850
8,2020,20.0,65.79,412
8,2020,22.0,57.067499999999995,633
8,2020,24.0,61.41,646
8,2020,25.0,53.85166666666667,1113
8,2021,1.0,53.64,879
8,2021,2.0,55.77,863
8,2021,3.0,54.02,868
8,2021,4.0,51.1425,1145
8,2021,5.0,49.347500000000004,836
8,2021,6.0,53.21,1213
8,2021,7.0,47.8025,930
8,2021,8.0,55.0475,1135
8,2021,9.0,49.6075,851
8,2021,10.0,46.3175,780
8,2021,11.0,42.25,1139
8,2021,12.0,52.105000000000004,917
8,2021,14.0,63.3975,593
8,2021,15.0,58.8975,671
8,2021,16.0,64.55199999999999,678
8,2021,17.0,66.07249999999999,513
8,2021,18.0,51.6725,1077
8,2021,19.0,63.495000000000005,944
8,2021,20.0,66.2675,371
8,2021,22.0,60.739999999999995,549
8,2021,24.0,62.519999999999996,615
8,2021,25.0,53.56,880
9,2018,1.0,66.3625,1272
9,2018,2.0,59.765,971
9,2018,3.0,49.96,1092
9,2018,4.0,52.9375,1204
9,2018,5.0,57.81,996
9,2018,6.0,49.06,1391
9,2018,7.0,51.25,1254
9,2018,8.0,57.2975,1368
9,2018,9.0,51.295,935
9,2018,10.0,45.455,1151
9,2018,11.0,38.9575,1674
9,2018,12.0,61.5025,1193
9,2018,14.0,65.8275,807
9,2018,15.0,50.44,853
9,2018,16.0,72.11,739
9,2018,17.0,67.885,598
9,2018,18.0,69.82,1444
9,2018,19.0,68.665,1159
9,2018,20.0,68.1675,436
9,2018,22.0,62.8625,763
9,2018,24.0,65.0025,683
9,2018,25.0,57.22833333333333,1129
9,2019,1.0,61.8425,1222
9,2019,2.0,60.8,1053
9,2019,3.0,49.7675,1093
9,2019,4.0,49.985,1233
9,2019,5.0,48.22,913
9,2019,6.0,43.6425,1456
9,2019,7.0,54.0925,1207
9,2019,8.0,54.745000000000005,1367
9,2019,9.0,55.260000000000005,976
9,2019,10.0,52.13,1095
9,2019,11.0,42.71,1472
9,2019,12.0,55.63,1245
9,2019,14.0,60.56,809
9,2019,15.0,46.5525,898
9,2019,16.0,68.082,698
9,2019,17.0,68.0725,595
9,2019,18.0,60.54,1207
9,2019,19.0,66.2375,1047
9,2019,20.0,68.0475,351
9,2019,22.0,61.0825,696
9,2019,24.0,65.0325,693
9,2019,25.0,55.199999999999996,1129
9,2020,1.0,52.45,647
9,2020,2.0,60.345,773
9,2020,3.0,43.695,938
9,2020,4.0,48.49,1071
